"","Nome","X","X.1","RT","Squadra.x","Kap.","X350K..8.","X350K..10.","X500K..8.","X500K..10.","M.V.","Pres.","Id","R","Squadra.y","Pg","Mv","Mf","Gf","Gs","Rp","Rc","R+","R-","Ass","Asf","Amm","Esp","Au"
"208","COULIBALY",67,NA,"
                        
                                                  C
                        

                        ","Serie Minori",2,NA,NA,NA,NA,NA,NA,"2144","C","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","CRAGNO",555,NA,"
                        
                                                  P
                        

                        ","Cagliari",19,20.31,25.34,18.73,23.77,NA,NA,"2178","P","Cagliari","16","6.47","5.31","0","21","1","0","0","0","0","0","1","0","0"
"210","CRESCENZI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"457","D","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","CRESPI",34,NA,"
                        
                                                  P
                        

                        ","Crotone",1,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","CRISCITO",516,NA,"
                        
                                                  C
                        

                        ","Genoa",17,17.13,20.01,18.63,20.36,NA,NA,"2759","D","Genoa","26","6","6.58","0","0","0","10","8","2","0","0","7","0","0"
"213","CRISETIG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","C","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","CRISTANTE",439,NA,"
                        
                                                  C
                        

                        ","Roma",13,14.42,17.23,13.58,16.32,NA,NA,"779","C","Roma","26","5.77","5.81","1","0","0","0","0","0","2","0","7","1","0"
"215","CRISTIANO RONALDO",642,NA,"
                        
                                                  A
                        

                        ","Juventus",58,125.78,136.37,143.81,171.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","CRISTO GONZALEZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4430","A","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","CRISTOFORO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2075","C","Fiorentina","1","5.5","5.5","0","0","0","0","0","0","0","0","0","0","0"
"218","CROCIATA",262,NA,"
                        
                                                  C
                        

                        ","Serie Minori",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","CUADRADO",539,NA,"
                        
                                                  D
                        

                        ","Juventus",18,18.69,18.79,18.07,22.29,NA,NA,"697","C","Juventus","33","6.05","6.18","2","0","0","0","0","0","3","0","7","1","0"
"220","CUCCHIETTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2096","P","Torino","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","CUELLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4939","A","SPAL","2","5.5","5.5","0","0","0","0","0","0","0","0","0","0","0"
"222","CUOMO",176,NA,"
                        
                                                  D
                        

                        ","Crotone",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","CURADO",128,NA,"
                        
                                                  D
                        

                        ","Serie Minori",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","CURCIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4443","D","Brescia","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","CUTRONE",505,NA,"
                        
                                                  A
                        

                        ","Estero",16,16.42,NA,NA,16.96,NA,NA,"2155","A","Fiorentina","19","5.94","6.64","4","0","0","0","0","0","1","0","1","0","0"
"226","CYPRIEN",387,NA,"
                        
                                                  C
                        

                        ","Parma",12,14.11,14.47,17.49,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","CZYBORRA",269,NA,"
                        
                                                  C
                        

                        ","Genoa",9,2.85,3.99,4.89,4.17,NA,NA,"4881","D","Atalanta","1","6","6","0","0","0","0","0","0","0","0","0","0","0"
"228","D'ALESSANDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","C","SPAL","15","5.87","6.2","2","0","0","0","0","0","0","0","0","1","0"
"229","D'AMBROSIO",478,NA,"
                        
                                                  C
                        

                        ","Inter",15,17.53,18.02,14.66,18.12,NA,NA,"253","D","Inter","22","6.08","6.58","4","0","0","0","0","0","0","0","6","0","0"
"230","D'AMICO",1,NA,"
                        
                                                  A
                        

                        ","Serie Minori",1,NA,NA,NA,NA,NA,NA,"4931","A","Sampdoria","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","D'ORAZIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4484","A","Roma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","DA COSTA",95,NA,"
                        
                                                  P
                        

                        ","Bologna",3,1.13,1.4,1.59,1.78,NA,NA,"40","P","Bologna","1","6","5","0","1","0","0","0","0","0","0","0","0","0"
"233","DA CRUZ",122,NA,"
                        
                                                  A
                        

                        ","Estero",5,NA,NA,NA,NA,NA,NA,"2807","A","Parma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","DA RIVA",92,NA,"
                        
                                                  C
                        

                        ","Serie Minori",3,NA,NA,NA,NA,NA,NA,"4949","C","Atalanta","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","DABO",287,NA,"
                        
                                                  C
                        

                        ","Benevento",9,NA,6.51,NA,9.27,NA,NA,"2659","C","SPAL","16","5.62","5.88","1","0","0","0","0","0","3","0","4","0","0"
"236","DALBERT",288,NA,"
                        
                                                  C
                        

                        ","Estero",9,NA,NA,NA,NA,NA,NA,"2289","D","Fiorentina","31","5.85","5.82","0","0","0","0","0","0","4","0","8","1","0"
"237","DALLE MURA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4950","D","Fiorentina","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","DALOT",195,NA,"
                        
                                                  D
                        

                        ","Milan",7,4.16,4.63,5.07,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","DAMSGAARD",473,NA,"
                        
                                                  C
                        

                        ","Sampdoria",15,17.37,17.69,14.42,18.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","DANILO",522,NA,"
                        
                                                  D
                        

                        ","Juventus",17,18.95,23.11,16.54,19.47,NA,NA,"4237","D","Juventus","22","5.77","5.95","2","0","0","0","0","0","0","0","2","1","0"
"241","DANILO",300,NA,"
                        
                                                  D
                        

                        ","Bologna",9,5.85,6.88,7.45,7.69,NA,NA,"4237","D","Juventus","22","5.77","5.95","2","0","0","0","0","0","0","0","2","1","0"
"242","DANILO LAR.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"578","D","Bologna","30","5.95","5.97","2","0","0","0","0","0","0","0","9","1","0"
"243","DANZI",86,NA,"
                        
                                                  C
                        

                        ","Serie Minori",3,NA,NA,NA,NA,NA,NA,"2726","C","Verona","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","DARMIAN",376,NA,"
                        
                                                  D
                        

                        ","Inter",12,14.09,17.17,11.55,14.32,NA,NA,"2525","D","Parma","33","5.92","5.95","1","0","0","0","0","0","1","0","6","0","0"
"245","DAWIDOWICZ",286,NA,"
                        
                                                  D
                        

                        ","Verona",9,2.73,5.07,NA,2.13,NA,NA,"4493","D","Verona","15","5.9","5.9","1","0","0","0","0","0","0","0","2","2","0"
"246","DE ANGELIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4490","C","Torino","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","DE LIGT",519,NA,"
                        
                                                  D
                        

                        ","Juventus",17,18.97,22,19.67,25.03,NA,NA,"4428","D","Juventus","29","6.05","6.38","4","0","0","0","0","0","0","0","5","0","0"
"248","DE MAIO",238,NA,"
                        
                                                  D
                        

                        ","Udinese",8,2.08,6.83,NA,3.09,NA,NA,"224","D","Udinese","21","5.89","5.86","0","0","0","0","0","0","0","0","1","0","0"
"249","DE PAUL",624,NA,"
                        
                                                  C
                        

                        ","Udinese",33,26.42,33.51,34.97,33.77,NA,NA,"1996","C","Udinese","34","6.29","6.96","7","0","0","0","0","0","2","3","5","1","0"
"250","DE ROON",535,NA,"
                        
                                                  C
                        

                        ","Atalanta",18,18.97,23.4,18.93,22.53,NA,NA,"22","C","Atalanta","35","5.97","6.06","2","0","0","0","0","0","5","0","12","0","1"
"251","DE SCIGLIO",229,NA,"
                        
                                                  D
                        

                        ","Estero",8,NA,NA,NA,NA,NA,NA,"358","D","Juventus","9","6","5.93","0","0","0","0","0","0","0","0","1","0","0"
"252","DE SILVESTRI",366,NA,"
                        
                                                  D
                        

                        ","Bologna",11,12.69,13.49,12.09,14.49,NA,NA,"487","D","Torino","29","5.77","5.73","0","0","0","0","0","0","0","0","2","0","0"
"253","DE VRIJ",574,NA,"
                        
                                                  D
                        

                        ","Inter",22,21.94,23.71,25.54,29.25,NA,NA,"322","D","Inter","34","6.29","6.6","4","0","0","0","0","0","1","0","5","0","0"
"254","DEFREL",532,NA,"
                        
                                                  A
                        

                        ","Sassuolo",18,20.61,24.26,17.7,22.5,NA,NA,"643","A","Sassuolo","17","5.94","6.62","2","0","0","1","1","0","3","0","1","0","0"
"255","DEIOLA",241,NA,"
                        
                                                  C
                        

                        ","Cagliari",8,NA,1.26,NA,NA,NA,NA,"1871","C","Lecce","11","5.8","6.05","1","0","0","0","0","0","1","0","3","0","0"
"256","DEL PINTO",66,NA,"
                        
                                                  C
                        

                        ","Serie Minori",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","DELL'ORCO",223,NA,"
                        
                                                  D
                        

                        ","Spezia",7,NA,NA,NA,NA,NA,NA,"517","D","Lecce","13","5.46","5.46","0","0","0","0","0","0","1","0","0","1","0"
"258","DEMIRAL",399,NA,"
                        
                                                  D
                        

                        ","Juventus",12,13.93,17.24,12.69,15.23,NA,NA,"4332","D","Juventus","6","6.25","6.83","1","0","0","0","0","0","1","0","1","0","0"
"259","DEMME",472,NA,"
                        
                                                  C
                        

                        ","Napoli",15,16.77,20.72,14.75,18.3,NA,NA,"4725","C","Napoli","15","5.93","5.93","1","0","0","0","0","0","0","0","6","0","0"
"260","DENSWIL",172,NA,"
                        
                                                  D
                        

                        ","Estero",6,NA,NA,NA,NA,NA,NA,"4414","D","Bologna","26","5.38","5.16","0","0","0","0","0","0","0","0","5","1","1"
"261","DEPAOLI",242,NA,"
                        
                                                  C
                        

                        ","Benevento",8,NA,1.26,4.94,3,NA,NA,"2141","D","Sampdoria","29","5.85","5.78","0","0","0","0","0","0","1","0","7","0","0"
"262","DERMAKU",145,NA,"
                        
                                                  D
                        

                        ","Serie Minori",6,NA,NA,NA,NA,NA,NA,"139","D","Parma","16","6.07","6","0","0","0","0","0","0","0","0","2","0","0"
"263","DESJARDINS",35,NA,"
                        
                                                  P
                        

                        ","Serie Minori",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","DESPODOV",193,NA,"
                        
                                                  A
                        

                        ","Estero",7,NA,NA,NA,NA,NA,NA,"4333","A","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"265","DESSENA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1872","C","Brescia","24","5.71","5.81","2","0","0","0","0","0","0","0","5","1","0"
"266","DESTRO",592,NA,"
                        
                                                  A
                        

                        ","Genoa",25,36.42,37.41,33.07,37.5,NA,NA,"472","A","Genoa","13","5.67","5.61","0","0","0","0","0","0","0","0","2","0","0"
"267","DEULOFEU",550,NA,"
                        
                                                  A
                        

                        ","Udinese",18,20.55,22.27,20.83,25.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","DEZI",102,NA,"
                        
                                                  C
                        

                        ","Serie Minori",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","DI CARMINE",409,NA,"
                        
                                                  A
                        

                        ","Crotone",13,13.73,15.64,16.47,19.65,NA,NA,"4500","A","Verona","22","5.95","6.88","7","0","0","2","1","1","0","0","3","0","0"
"270","DI FRANCESCO F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1857","C","SPAL","20","5.91","6.15","2","0","0","0","0","0","0","0","4","0","0"
"271","DI GAUDIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","C","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","DI LORENZO",381,NA,"
                        
                                                  D
                        

                        ","Napoli",12,14.52,15.57,16.92,18.6,NA,NA,"2816","D","Napoli","33","5.88","6.17","3","0","0","0","0","0","3","0","5","0","0"
"273","DI SERIO",78,NA,"
                        
                                                  A
                        

                        ","Benevento",2,NA,2.53,1.47,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","DIALLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4862","A","Atalanta","3","7","10","1","0","0","0","0","0","0","0","0","0","0"
"275","DIAWARA",426,NA,"
                        
                                                  C
                        

                        ","Roma",13,14.68,18.06,NA,5.82,NA,NA,"58","C","Roma","22","6.02","6.08","0","0","0","1","1","0","0","0","4","0","0"
"276","DIAZ",459,NA,"
                        
                                                  A
                        

                        ","Milan",14,17.5,21.3,17.22,20.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","DICKMANN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2787","D","SPAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"278","DIEGO FARIAS",496,NA,"
                        
                                                  A
                        

                        ","Spezia",16,NA,19.6,NA,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","DIERCKX",27,NA,"
                        
                                                  D
                        

                        ","Parma",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","DIJKS",259,NA,"
                        
                                                  D
                        

                        ","Bologna",8,NA,5.27,5.58,6.67,NA,NA,"2746","D","Bologna","13","5.73","5.54","0","0","0","0","0","0","0","0","5","0","0"
"281","DIMARCO",541,NA,"
                        
                                                  C
                        

                        ","Verona",18,20.57,25.41,18.15,21.89,NA,NA,"254","D","Verona","16","6","5.94","0","0","0","0","0","0","1","1","1","0","1"
"282","DINI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2798","P","Parma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"283","DJIDJI",120,NA,"
                        
                                                  D
                        

                        ","Crotone",5,NA,5.54,NA,0.9,NA,NA,"2869","D","Torino","17","5.31","5.12","0","0","0","0","0","0","0","0","1","0","1"
"284","DJIMSITI",537,NA,"
                        
                                                  D
                        

                        ","Atalanta",18,18.88,18.88,15.92,19.67,NA,NA,"787","D","Atalanta","34","6.07","6.21","2","0","0","0","0","0","1","0","5","0","0"
"285","DJURICIC",570,NA,"
                        
                                                  C
                        

                        ","Sassuolo",21,21.34,22.63,21.89,25.14,NA,NA,"1995","C","Sassuolo","29","6.15","6.7","5","0","0","0","0","0","3","0","6","0","0"
"286","DOMINGUEZ",453,NA,"
                        
                                                  C
                        

                        ","Bologna",14,14.52,14.81,NA,14.91,NA,NA,"4869","C","Bologna","16","5.87","5.9","0","0","0","0","0","0","1","0","1","0","0"
"287","DONATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2446","D","Lecce","20","5.92","5.88","1","0","0","0","0","0","0","0","4","0","1"
"288","DONNARUMMA AL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4452","A","Brescia","31","5.79","6.59","5","0","0","2","2","0","2","0","1","0","0"
"289","DONNARUMMA AN.",62,NA,"
                        
                                                  P
                        

                        ","Milan",1,1.42,1.63,1.14,1.3,NA,NA,"216","P","Milan","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"290","DONNARUMMA G.",562,NA,"
                        
                                                  P
                        

                        ","Milan",20,30.99,37.3,32.76,44.66,NA,NA,"350","P","Milan","36","6.26","5.39","0","42","4","0","0","0","0","0","3","0","0"
"291","DONSAH",139,NA,"
                        
                                                  C
                        

                        ","Estero",5,NA,NA,NA,NA,NA,NA,"669","C","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"292","DOUGLAS COSTA",517,NA,"
                        
                                                  A
                        

                        ","Estero",17,NA,NA,NA,18.02,NA,NA,"2200","C","Juventus","23","6.25","6.61","1","0","0","0","0","0","4","0","1","0","0"
"293","DRAGOWSKI",468,NA,"
                        
                                                  P
                        

                        ","Fiorentina",15,17.15,21.19,17.3,22.18,NA,NA,"1917","P","Fiorentina","31","6.21","5","0","43","2","0","0","0","0","0","1","0","0"
"294","DRAGUS",110,NA,"
                        
                                                  A
                        

                        ","Crotone",4,NA,NA,NA,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","DUARTE",180,NA,"
                        
                                                  D
                        

                        ","Estero",6,NA,NA,NA,NA,NA,NA,"4511","D","Milan","6","5.6","5.4","0","0","0","0","0","0","0","0","2","0","0"
"296","DUBICKAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4866","A","Lecce","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"297","DUNCAN",377,NA,"
                        
                                                  C
                        

                        ","Cagliari",12,12.8,14.16,12.72,15.18,NA,NA,"526","C","Fiorentina","26","6.08","6.44","2","0","0","0","0","0","5","0","5","0","0"
"298","DURMISI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2772","D","Lazio","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","DYBALA",626,NA,"
                        
                                                  A
                        

                        ","Juventus",36,49.97,64.1,64.58,74.96,NA,NA,"309","A","Juventus","33","6.67","7.84","10","0","0","1","1","0","5","2","5","0","0"
"300","DZEKO",628,NA,"
                        
                                                  A
                        

                        ","Roma",38,57.02,84.4,80.96,98.57,NA,NA,"647","A","Roma","35","6.59","8.01","16","0","0","0","0","0","4","0","4","0","0"
"301","DZEMAILI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"713","C","Bologna","14","5.96","6.21","1","0","0","0","0","0","1","0","2","0","0"
"302","EBOA EBONGUE",76,NA,"
                        
                                                  C
                        

                        ","Genoa",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","EDERA",206,NA,"
                        
                                                  A
                        

                        ","Serie Minori",7,NA,NA,NA,NA,NA,NA,"1839","A","Torino","13","5.61","5.83","1","0","0","0","0","0","1","0","2","1","0"
"304","EKDAL",489,NA,"
                        
                                                  C
                        

                        ","Sampdoria",16,17.32,19.56,15.54,18.83,NA,NA,"2391","C","Sampdoria","32","5.88","5.82","0","0","0","0","0","0","2","0","8","0","0"
"305","EL SHAARAWY",526,NA,"
                        
                                                  A
                        

                        ","Roma",17,37.64,40.42,29.24,40.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","EL YAMIQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2664","D","Genoa","3","5","4.83","0","0","0","0","0","0","0","0","1","0","0"
"307","ELMAS",471,NA,"
                        
                                                  C
                        

                        ","Napoli",15,16.68,16.81,15.38,17.7,NA,NA,"4479","C","Napoli","26","5.97","6.03","1","0","0","0","0","0","1","0","7","0","0"
"308","EMPEREUR",179,NA,"
                        
                                                  D
                        

                        ","Estero",6,NA,NA,NA,NA,NA,NA,"4494","D","Verona","13","5.95","5.82","0","0","0","0","0","0","0","0","3","0","0"
"309","ERIKSEN",565,NA,"
                        
                                                  C
                        

                        ","Inter",20,21.38,26.56,21.32,26.31,NA,NA,"2556","C","Inter","17","5.92","6.31","1","0","0","0","0","0","2","0","0","0","0"
"310","ERIKSSON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4882","C","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"311","ERLIC",342,NA,"
                        
                                                  D
                        

                        ","Spezia",10,10.6,10.77,10.07,12.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","ESCALANTE",275,NA,"
                        
                                                  C
                        

                        ","Lazio",9,NA,1.26,NA,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","ESPOSITO",266,NA,"
                        
                                                  A
                        

                        ","Serie Minori",9,NA,NA,NA,NA,NA,NA,"4463","A","Inter","7","5.83","6.67","0","0","0","1","1","0","0","0","1","0","0"
"314","ESTEVEZ",248,NA,"
                        
                                                  C
                        

                        ","Spezia",8,NA,5.7,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","EYSSERIC",214,NA,"
                        
                                                  C
                        

                        ","Fiorentina",7,NA,NA,NA,NA,NA,NA,"2290","C","Verona","8","5.75","5.58","0","0","0","0","0","0","0","0","2","0","0"
"316","FAGIOLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4465","C","Juventus","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317","FALBO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4937","D","Lazio","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"318","FALCINELLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"532","A","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"319","FALCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"658","A","Lecce","30","6.24","6.86","4","0","0","0","0","0","4","2","0","0","0"
"320","FALCONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2134","P","Sampdoria","2","6","3.25","0","5","0","0","0","0","0","0","1","0","0"
"321","FALLETTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2210","C","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"322","FARAGO",264,NA,"
                        
                                                  C
                        

                        ","Bologna",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","FARAGO'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2116","C","Cagliari","21","5.82","5.84","1","0","0","0","0","0","1","0","3","0","1"
"324","FARAONI",558,NA,"
                        
                                                  C
                        

                        ","Verona",19,19.69,24.25,18.23,22.68,NA,NA,"581","D","Verona","36","6.1","6.51","5","0","0","0","0","0","2","1","6","0","0"
"325","FARES",293,NA,"
                        
                                                  C
                        

                        ","Lazio",9,3.02,4.36,8.12,8.02,NA,NA,"633","C","SPAL","8","5.56","5.44","0","0","0","0","0","0","0","0","2","0","0"
"326","FARIAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1879","A","Lecce","18","5.89","6.11","2","0","0","0","0","0","0","0","2","1","0"
"327","FAVILLI",345,NA,"
                        
                                                  A
                        

                        ","Verona",11,15.82,18.05,11.92,14.07,NA,NA,"819","A","Genoa","20","5.7","5.57","0","0","0","0","0","0","0","0","4","0","0"
"328","FAZIO",326,NA,"
                        
                                                  D
                        

                        ","Roma",10,10.76,12.29,NA,4.71,NA,NA,"2016","D","Roma","16","5.7","5.77","1","0","0","0","0","0","0","0","2","1","0"
"329","FELIPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"708","D","SPAL","15","5.46","5.32","0","0","0","0","0","0","0","0","5","0","0"
"330","FERIGRA",12,NA,"
                        
                                                  D
                        

                        ","Torino",1,NA,1.4,NA,0.44,NA,NA,"4487","D","Torino","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"331","FERRARI A.",222,NA,"
                        
                                                  D
                        

                        ","Sampdoria",7,NA,NA,NA,1.06,NA,NA,"45","D","Sampdoria","12","5.83","5.67","0","0","0","0","0","0","0","0","4","0","0"
"332","FERRARI G.",418,NA,"
                        
                                                  D
                        

                        ","Sassuolo",13,14.51,14.8,13.1,15.89,NA,NA,"1895","D","Sassuolo","23","5.91","5.84","0","0","0","0","0","0","1","0","5","0","0"
"333","FERRER",245,NA,"
                        
                                                  D
                        

                        ","Spezia",8,NA,3.7,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","FESTA",20,NA,"
                        
                                                  P
                        

                        ","Crotone",1,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","FIAMOZZI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"805","D","Lecce","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"336","FLOCCARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"533","A","SPAL","24","5.65","5.74","1","0","0","0","0","0","0","0","3","0","0"
"337","FLORENZI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"464","D","Roma","14","6","5.88","0","0","0","0","0","0","1","0","5","0","0"
"338","FOFANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1986","C","Udinese","32","6.19","6.62","3","0","0","0","0","0","7","0","4","0","0"
"339","FORESTIERI",386,NA,"
                        
                                                  A
                        

                        ","Udinese",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","FOULON",244,NA,"
                        
                                                  D
                        

                        ","Benevento",8,5.18,5.21,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","FRABOTTA",207,NA,"
                        
                                                  D
                        

                        ","Juventus",7,2.62,5.45,4.43,4.62,NA,NA,"4946","D","Juventus","1","6","6","0","0","0","0","0","0","0","0","0","0","0"
"342","FREDIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2808","A","Parma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"343","FREULER",575,NA,"
                        
                                                  C
                        

                        ","Atalanta",22,23.21,23.64,20.84,25.23,NA,NA,"788","C","Atalanta","31","6.05","6.23","2","0","0","0","0","0","1","0","3","0","0"
"344","FUZATO",10,NA,"
                        
                                                  P
                        

                        ","Roma",1,NA,1.15,NA,0.42,NA,NA,"2781","P","Roma","1","6","5","0","1","0","0","0","0","0","0","0","0","0"
"345","GABBIA",175,NA,"
                        
                                                  D
                        

                        ","Milan",6,NA,5.7,5.1,5.71,NA,NA,"4401","D","Milan","9","5.83","5.78","0","0","0","0","0","0","0","0","1","0","0"
